sku,inventory_level,historical_sales
ELEC00134,102,"40,46,45,46,50,44,49,44,39,40,42,42"
ELEC00135,170,"34,40,44,43,44,44,38,42,32,43,36,50"
ELEC00136,50,"17,20,25,25,28,28,27,19,25,16,28,29"
ELEC00137,31,"17,16,19,22,25,18,22,19,19,18,16,23"
ELEC00138,142,"41,43,44,45,49,44,47,43,43,44,44,48"
ELEC00139,53,"23,26,29,35,36,32,26,30,33,28,28,30"
ELEC00140,38,"14,16,17,22,20,19,20,16,17,17,17,21"
ELEC00141,24,"24,26,29,31,35,35,31,25,27,29,33,31"
ELEC00142,191,"27,29,33,33,31,31,32,25,22,33,35,34"
ELEC00143,153,"11,16,20,16,16,19,22,17,16,17,13,22"
ELEC00144,59,"33,36,40,39,38,41,40,36,37,32,42,38"
ELEC00145,89,"35,41,43,44,45,49,44,40,37,42,45,48"
ELEC00146,39,"19,21,24,29,29,30,28,25,22,23,29,29"
ELEC00147,62,"25,28,35,37,37,29,36,26,30,34,32,30"
ELEC00148,93,"26,31,30,33,37,31,35,29,29,24,27,40"
ELEC00149,102,"22,27,29,27,31,27,24,30,24,23,26,28"
ELEC00150,49,"33,37,39,41,37,39,39,35,36,33,38,41"
ELEC00151,56,"41,44,44,48,47,47,45,46,43,42,50,50"
ELEC00152,88,"34,33,39,38,41,37,39,36,33,37,33,43"
ELEC00153,168,"33,33,36,42,43,37,40,32,36,37,32,36"
ELEC00154,104,"18,16,20,22,23,24,25,21,18,18,23,28"
ELEC00155,198,"13,15,21,20,23,23,15,19,11,18,12,18"
ELEC00156,56,"40,41,44,50,44,48,46,41,40,44,42,52"
ELEC00157,76,"27,36,35,36,40,36,39,36,39,38,38,38"
ELEC00158,140,"20,27,28,30,33,27,24,28,27,24,30,29"
ELEC00159,59,"34,34,38,39,41,41,41,35,36,31,40,41"
ELEC00160,77,"29,34,34,40,39,39,35,35,30,37,42,38"
ELEC00161,20,"23,25,27,27,32,31,29,24,30,29,31,36"
ELEC00162,158,"19,22,26,23,24,23,27,16,18,27,28,28"
ELEC00163,81,"28,34,39,39,35,34,34,34,29,38,38,35"
ELEC00164,178,"14,18,15,19,22,19,23,20,15,20,12,19"
ELEC00165,155,"30,32,35,39,39,37,37,35,35,36,33,38"
ELEC00166,156,"32,30,35,36,40,35,39,37,32,35,32,40"
ELEC00167,196,"35,33,38,43,39,39,38,39,36,41,36,36"
ELEC00168,35,"26,30,36,36,33,38,39,35,31,32,37,32"
ELEC00169,124,"17,24,27,29,29,26,23,23,25,21,20,25"
ELEC00170,68,"22,25,31,34,35,26,28,34,25,29,34,27"
ELEC00171,36,"33,38,39,40,43,45,39,37,32,36,41,34"
ELEC00172,74,"18,19,27,24,23,23,26,20,23,20,25,33"
ELEC00173,191,"12,17,19,21,24,25,21,19,17,17,25,22"
ELEC00174,23,"34,35,40,41,42,40,40,37,34,37,31,43"
ELEC00175,109,"22,28,30,26,31,27,23,28,28,31,25,38"
ELEC00176,97,"38,38,43,42,43,43,42,42,40,40,38,48"
ELEC00177,78,"9,12,14,16,18,16,20,14,17,16,17,22"
ELEC00178,85,"10,17,18,20,20,17,17,16,13,14,14,18"
ELEC00179,113,"13,15,15,22,16,19,17,15,17,21,17,15"
ELEC00180,181,"30,31,31,34,34,35,35,34,26,35,36,36"
ELEC00181,54,"8,13,19,17,19,16,20,15,8,15,13,22"
ELEC00182,96,"19,25,29,28,25,30,22,29,25,27,28,25"
ELEC00183,195,"37,45,46,50,47,44,42,43,44,45,47,51"
ELEC00184,48,"19,20,21,24,24,23,20,24,21,20,22,26"
ELEC00185,40,"18,20,23,25,25,30,25,26,30,25,30,32"
ELEC00186,124,"22,27,25,30,32,28,26,30,31,31,30,31"
ELEC00187,53,"26,30,32,35,37,35,34,36,30,28,29,31"
ELEC00188,146,"27,33,33,33,37,36,37,34,32,38,33,33"
ELEC00189,189,"38,44,43,47,51,48,45,41,44,44,37,49"
ELEC00190,170,"27,27,32,38,32,31,27,30,29,25,30,31"
ELEC00191,135,"31,37,38,41,43,37,34,41,38,35,36,40"
ELEC00192,144,"18,19,26,27,27,27,21,21,24,21,22,29"
ELEC00193,85,"24,28,35,38,35,33,31,33,28,35,32,32"
ELEC00194,48,"23,26,29,28,31,34,26,29,29,29,27,34"
ELEC00195,140,"24,28,30,32,34,29,30,30,23,25,32,33"
ELEC00196,127,"39,40,44,43,48,49,41,43,47,40,45,43"
ELEC00197,145,"37,40,45,48,47,45,42,41,43,49,46,44"
ELEC00198,80,"38,41,43,46,49,46,39,46,43,39,45,52"
ELEC00199,154,"23,25,31,31,32,33,34,24,27,26,30,27"
ELEC00200,81,"16,18,22,25,24,25,22,20,17,18,21,18"
ELEC00201,92,"29,28,31,31,37,30,32,27,29,33,34,37"
ELEC00202,166,"33,37,37,38,43,39,38,41,35,40,34,45"
ELEC00203,151,"37,40,42,45,49,44,39,45,39,39,42,41"
ELEC00204,136,"40,43,44,47,43,48,47,38,46,40,39,42"
ELEC00205,189,"11,17,19,17,19,21,18,16,14,19,17,19"
ELEC00206,113,"28,30,35,37,40,39,36,29,28,31,33,41"
ELEC00207,98,"29,34,35,40,36,39,36,35,34,40,40,36"
ELEC00208,92,"28,32,34,37,40,39,34,34,37,33,41,38"
ELEC00209,134,"28,35,39,36,38,38,36,38,33,38,33,43"
ELEC00210,86,"26,32,35,35,33,32,32,27,29,25,31,33"
ELEC00211,119,"29,32,37,35,37,40,34,37,34,40,34,33"
ELEC00212,57,"37,39,44,43,43,41,40,45,42,41,46,46"
ELEC00213,171,"16,18,18,24,23,24,22,20,14,22,26,17"
ELEC00214,29,"18,19,21,24,22,20,22,17,16,17,25,24"
ELEC00215,34,"12,15,15,17,21,18,13,20,12,15,20,21"
ELEC00216,195,"16,20,21,27,28,29,25,20,22,20,22,23"
ELEC00217,56,"27,30,36,36,35,36,35,37,27,31,28,33"
ELEC00218,40,"20,25,29,26,25,26,27,19,28,27,29,32"
ELEC00219,82,"12,16,18,20,23,16,19,17,15,12,18,15"
ELEC00220,138,"38,45,47,47,48,47,44,48,44,43,43,47"
ELEC00221,152,"20,26,32,30,28,30,27,27,28,27,34,30"
ELEC00222,127,"30,31,35,37,37,36,35,37,31,26,30,29"
ELEC00223,78,"28,35,36,38,36,34,37,34,32,37,40,40"
ELEC00224,100,"32,37,43,39,40,45,39,36,36,44,42,43"
ELEC00225,142,"31,34,37,37,36,41,33,31,32,38,34,44"
ELEC00226,43,"10,12,19,21,14,15,16,17,8,16,14,20"
ELEC00227,150,"23,26,25,26,30,29,25,27,20,23,23,32"
ELEC00228,73,"14,21,21,27,23,24,18,17,21,20,25,24"
ELEC00229,164,"21,24,27,31,30,33,28,23,27,29,28,31"
ELEC00230,150,"8,11,18,16,15,16,18,11,15,12,15,18"
ELEC00231,70,"29,31,34,38,34,38,37,38,31,31,34,34"
ELEC00232,173,"20,21,24,25,27,27,21,20,26,21,27,32"
ELEC00233,96,"31,30,36,38,39,35,39,34,31,39,36,37"
ELEC00234,196,"24,26,28,30,29,27,31,31,24,24,29,33"
ELEC00235,187,"35,40,44,45,45,47,38,41,34,36,39,46"
ELEC00236,171,"19,26,27,29,33,30,25,30,25,31,28,31"
ELEC00237,76,"11,18,18,19,21,20,18,14,14,9,18,14"
ELEC00238,144,"40,43,48,49,46,51,48,46,45,48,44,47"
ELEC00239,53,"13,15,20,22,23,17,23,18,19,11,26,29"
ELEC00240,132,"9,16,15,20,18,18,15,15,21,15,18,15"
ELEC00241,66,"31,34,42,44,40,36,39,38,35,35,35,47"
ELEC00242,190,"32,35,42,41,46,43,39,33,37,34,40,45"
ELEC00243,48,"32,38,39,44,43,42,40,38,36,43,36,44"
ELEC00244,49,"22,28,28,29,33,30,22,26,25,28,20,32"
ELEC00245,40,"25,30,37,34,39,32,32,32,32,31,35,35"
ELEC00246,128,"21,28,31,29,32,30,31,26,22,30,21,37"
ELEC00247,192,"30,36,34,38,40,36,35,34,36,30,41,35"
ELEC00248,68,"17,23,24,26,31,29,25,23,24,17,29,34"
ELEC00249,183,"11,10,16,16,21,17,14,15,14,9,18,21"
ELEC00250,66,"18,20,25,25,27,26,26,25,22,23,28,31"
ELEC00251,100,"24,28,31,30,32,27,24,27,25,32,28,34"
ELEC00252,118,"42,43,47,46,52,44,47,46,38,40,45,43"
ELEC00253,161,"28,33,36,35,39,36,33,36,27,33,38,37"
ELEC00254,43,"30,34,36,40,42,37,37,38,37,34,36,33"
ELEC00255,71,"18,19,23,26,27,26,28,20,21,23,20,27"
ELEC00256,184,"31,34,38,36,38,33,36,34,33,29,29,34"
ELEC00257,165,"26,28,30,36,36,34,29,24,26,33,28,28"
ELEC00258,148,"30,34,36,39,40,36,36,34,36,36,42,45"
ELEC00259,123,"7,15,13,16,17,18,15,12,12,13,14,15"
ELEC00260,108,"13,15,17,19,23,23,21,15,16,15,16,22"
ELEC00261,94,"20,25,26,31,30,30,30,25,23,30,24,36"
ELEC00262,128,"17,22,24,27,27,27,23,20,20,19,27,24"
ELEC00263,20,"33,36,40,44,39,41,37,40,39,38,44,44"
ELEC00264,60,"27,30,36,36,38,35,37,33,31,30,37,42"
ELEC00265,25,"39,42,42,50,49,46,40,43,41,42,38,46"
ELEC00266,183,"40,45,45,47,46,41,42,42,43,42,38,40"
ELEC00267,156,"37,42,42,43,42,43,40,39,42,39,45,45"
ELEC00268,129,"9,16,20,18,20,20,12,14,8,13,12,16"
ELEC00269,40,"27,32,37,35,39,35,40,32,38,32,29,37"
ELEC00270,180,"34,39,41,42,41,38,41,37,37,32,32,47"
ELEC00271,21,"22,26,30,34,30,33,26,29,30,26,32,34"
ELEC00272,76,"19,19,25,27,27,24,27,26,20,27,22,34"
ELEC00273,46,"33,39,37,41,37,43,37,37,31,40,41,45"
ELEC00274,170,"27,30,33,32,40,35,34,31,36,36,31,40"
ELEC00275,31,"16,21,23,29,28,26,25,24,21,24,27,30"
ELEC00276,157,"40,40,43,47,45,47,45,40,40,48,42,48"
ELEC00277,68,"23,28,33,31,38,32,30,31,33,27,29,31"
ELEC00278,34,"35,36,40,40,39,41,37,34,34,40,39,37"
ELEC00279,178,"37,39,46,45,46,43,45,39,37,35,40,44"
ELEC00280,198,"40,45,48,51,45,47,43,49,43,42,40,53"
ELEC00281,44,"36,41,43,46,42,43,38,41,36,36,36,44"
ELEC00282,132,"14,18,21,25,26,22,22,22,23,21,22,26"
ELEC00283,72,"17,19,25,27,29,27,25,25,21,16,23,26"
ELEC00284,65,"29,31,35,35,33,31,31,26,29,27,37,32"
ELEC00285,162,"32,36,39,40,43,38,38,35,34,38,34,38"
ELEC00286,154,"33,35,36,39,40,37,32,37,32,35,41,40"
ELEC00287,40,"41,41,47,49,46,48,48,42,43,37,38,44"
ELEC00288,39,"18,18,20,24,27,24,21,23,19,21,28,23"
ELEC00289,36,"39,45,44,51,49,46,42,45,44,49,50,54"
ELEC00290,150,"34,38,38,43,37,43,35,35,41,35,36,36"
ELEC00291,97,"15,23,21,24,28,27,26,27,22,19,24,28"
ELEC00292,41,"22,28,28,29,33,33,32,28,25,27,28,29"
ELEC00293,171,"20,29,28,29,33,30,26,24,23,34,34,33"
ELEC00294,96,"20,23,28,30,31,31,29,27,32,30,34,24"
ELEC00295,36,"30,31,35,35,39,34,33,33,30,33,28,37"
ELEC00296,70,"25,25,30,34,29,31,32,23,29,33,29,30"
ELEC00297,83,"13,19,25,23,27,21,25,19,18,18,25,21"
ELEC00298,136,"26,32,35,34,35,35,36,32,24,32,29,28"
ELEC00299,169,"13,17,19,18,21,19,23,18,13,14,17,15"
ELEC00300,192,"18,25,26,28,25,28,25,24,20,26,22,26"
ELEC00301,129,"38,44,45,48,48,41,45,40,44,45,48,43"
ELEC00302,130,"31,36,35,39,40,39,37,32,37,36,38,38"
ELEC00303,25,"11,14,18,17,15,18,14,18,20,19,21,20"
ELEC00304,82,"30,32,36,36,36,33,33,36,34,27,35,42"
ELEC00305,65,"24,30,35,35,35,34,34,30,24,31,32,34"
ELEC00306,187,"7,10,18,17,16,19,17,13,13,17,17,21"
ELEC00307,109,"29,36,34,39,40,37,34,36,33,36,32,33"
ELEC00308,72,"19,21,27,25,26,23,27,20,19,27,19,27"
ELEC00309,124,"30,31,33,38,36,36,36,36,28,33,31,32"
ELEC00310,57,"13,15,18,19,15,21,14,16,16,22,11,21"
ELEC00311,76,"14,17,18,23,22,19,13,16,16,17,16,19"
ELEC00312,148,"37,35,39,45,43,43,42,39,32,37,43,43"
ELEC00313,144,"24,26,32,32,29,32,27,32,29,34,33,27"
ELEC00314,52,"12,18,20,25,24,21,22,20,16,19,22,19"
ELEC00315,186,"24,26,29,27,28,30,27,28,27,25,31,36"
ELEC00316,58,"40,44,47,49,46,44,45,44,44,40,47,51"
ELEC00317,24,"39,42,45,43,43,48,45,41,38,43,45,47"
ELEC00318,159,"16,15,19,24,22,23,21,14,19,17,22,22"
ELEC00319,62,"25,32,29,34,36,31,36,34,36,28,28,34"
ELEC00320,42,"23,26,32,29,29,31,32,25,28,22,33,29"
ELEC00321,157,"39,44,43,45,51,47,42,46,44,41,49,49"
ELEC00322,172,"24,32,31,33,33,33,32,30,33,34,31,31"
ELEC00323,121,"19,19,20,22,21,25,24,19,20,26,17,24"
ELEC00324,122,"28,26,28,33,36,33,34,30,25,28,36,36"
ELEC00325,191,"30,30,33,33,35,34,32,32,32,36,28,33"
ELEC00326,44,"16,19,26,30,26,28,21,21,19,24,20,28"
ELEC00327,62,"20,22,27,29,31,30,25,26,23,29,26,21"
ELEC00328,76,"11,17,23,24,25,22,19,21,13,11,15,19"
ELEC00329,190,"34,34,43,41,44,38,38,37,38,38,44,43"
ELEC00330,126,"29,34,33,36,35,34,36,33,30,34,38,40"
ELEC00331,63,"11,20,19,19,22,24,21,14,20,17,17,21"
ELEC00332,95,"15,17,21,23,22,21,19,18,13,22,23,29"
ELEC00333,127,"20,23,26,27,24,27,25,21,24,26,27,26"
ELEC00334,198,"41,41,41,45,48,47,44,42,44,48,47,47"
ELEC00335,78,"7,10,13,20,18,16,17,12,14,11,16,25"
ELEC00336,138,"28,29,35,37,33,32,32,26,31,27,33,30"
ELEC00337,100,"13,19,18,22,20,24,18,14,17,16,21,21"
ELEC00338,48,"28,34,36,33,33,32,35,35,35,35,28,37"
ELEC00339,33,"27,25,31,32,33,36,26,24,29,25,26,31"
ELEC00340,146,"38,45,48,45,48,47,46,48,44,39,39,48"
ELEC00341,170,"31,34,37,38,36,38,38,34,39,43,40,40"
ELEC00342,115,"25,29,35,36,34,32,34,30,33,38,28,30"
ELEC00343,162,"16,23,23,25,29,21,23,24,17,19,29,30"
ELEC00344,43,"36,36,40,45,44,40,39,34,42,39,40,37"
ELEC00345,75,"9,13,16,20,19,22,18,13,9,9,22,15"
ELEC00346,62,"19,23,22,26,27,27,26,22,21,17,27,25"
ELEC00347,111,"20,24,27,25,31,24,24,19,26,21,27,22"
ELEC00348,187,"37,36,39,41,47,46,37,38,42,40,47,36"
ELEC00349,21,"17,23,26,26,28,25,24,19,23,23,27,21"
ELEC00350,29,"12,17,21,19,21,23,18,18,17,14,20,16"
ELEC00351,65,"19,24,20,24,28,24,19,26,22,21,22,23"
ELEC00352,129,"11,11,18,16,22,17,16,20,11,14,13,17"
ELEC00353,149,"31,34,40,39,38,39,42,40,38,32,34,39"
ELEC00354,167,"36,38,45,46,40,43,39,35,44,44,40,40"
ELEC00355,123,"32,38,39,41,41,41,42,39,42,36,46,46"
ELEC00356,81,"20,23,22,27,24,29,20,24,22,20,27,29"
ELEC00357,107,"23,31,33,34,35,32,28,29,31,31,34,37"
ELEC00358,73,"11,17,20,21,25,24,15,21,17,17,23,25"
ELEC00359,145,"21,25,24,28,27,30,30,25,25,22,29,33"
ELEC00360,50,"14,21,22,24,24,24,22,21,20,13,21,22"
ELEC00361,78,"15,18,22,18,20,23,15,19,21,18,19,26"
ELEC00362,105,"12,13,16,21,22,15,16,15,15,16,18,21"
ELEC00363,93,"17,22,24,27,27,25,21,24,17,15,17,25"
ELEC00364,195,"37,43,47,47,51,48,49,44,46,43,42,50"
ELEC00365,36,"19,23,28,27,28,24,27,23,25,23,31,25"
ELEC00366,139,"22,25,33,36,31,31,26,29,28,29,35,29"
ELEC00367,24,"37,38,43,43,43,41,38,41,37,37,43,39"
ELEC00368,58,"37,40,43,44,46,45,44,40,41,38,39,50"
ELEC00369,128,"31,34,36,41,43,36,34,32,35,37,32,41"
ELEC00370,74,"35,39,45,43,48,43,41,40,45,38,44,41"
ELEC00371,66,"37,43,45,46,45,43,45,42,39,39,38,39"
ELEC00372,107,"30,30,38,38,36,33,34,31,30,36,37,40"
ELEC00373,122,"15,20,25,27,22,26,22,19,24,24,27,33"
ELEC00374,149,"33,32,34,39,41,40,39,40,30,35,35,37"
ELEC00375,43,"26,31,36,35,36,32,35,34,35,30,40,42"
ELEC00376,109,"21,24,26,25,27,29,30,26,21,24,29,35"
ELEC00377,179,"22,23,26,29,33,26,24,23,21,23,29,22"
ELEC00378,102,"31,33,32,38,34,40,35,36,29,37,36,41"
ELEC00379,165,"27,30,34,38,35,40,33,37,33,31,31,35"
ELEC00380,155,"27,29,32,33,34,32,30,30,33,34,27,33"
ELEC00381,67,"33,37,40,39,43,41,41,37,38,33,40,42"
ELEC00382,34,"9,13,20,18,21,23,14,19,14,18,19,24"
ELEC00383,25,"22,28,30,33,31,30,33,30,26,26,34,34"
ELEC00384,137,"27,29,34,35,34,33,33,26,24,24,38,38"
ELEC00385,97,"29,32,35,34,32,32,29,32,33,36,34,45"
ELEC00386,96,"37,41,41,45,42,45,41,36,44,33,38,41"
ELEC00387,45,"11,15,18,21,15,20,20,18,16,16,14,16"
ELEC00388,37,"35,37,43,44,43,46,39,39,41,39,45,48"
ELEC00389,168,"26,30,37,36,36,37,37,32,26,36,33,35"
ELEC00390,59,"39,43,46,44,43,47,46,40,42,38,41,49"
ELEC00391,171,"12,17,17,19,23,20,13,20,17,14,13,25"
ELEC00392,169,"20,19,26,25,28,28,24,24,21,20,19,20"
ELEC00393,76,"28,32,32,34,35,34,32,33,29,27,30,41"
ELEC00394,188,"15,23,25,25,26,25,24,22,16,20,19,25"
ELEC00395,104,"19,23,27,29,28,30,26,27,21,26,22,21"
ELEC00396,83,"40,44,45,48,49,48,42,47,48,43,48,49"
ELEC00397,77,"21,26,30,33,30,28,31,25,28,29,22,29"
ELEC00398,65,"10,13,17,20,23,17,12,17,20,15,14,15"
